2026-04-29 10:12:28, MOVE, v:1, k:ed@fractais_png, mode:PICK
2026-04-29 10:14:41, MOVE, v:1, k:ed@fractais_png, mode:BACK
2026-04-29 10:33:47, MOVE, v:1, k:ed@fractais_png, mode:PICK
2026-04-29 10:38:15, MOVE, v:1, k:ed@fractais_png, mode:EDIT
2026-04-29 10:38:23, EXEC, v:1, k:ed@fractais_png, mode:LOCK, rate:0, size:147
2026-04-29 10:38:35, MOVE, v:1, k:ed@fractais_png, mode:BACK
2026-04-29 10:38:36, MOVE, v:1, k:ed@fractais_png, mode:PICK
2026-04-29 10:39:17, MOVE, v:1, k:ed@fractais_png, mode:BACK
2026-04-29 10:44:37, MOVE, v:1, k:ed@fractais_png, mode:DOWN
2026-04-29 10:44:39, MOVE, v:1, k:ed@fractais_png, mode:PICK
2026-04-29 10:45:15, MOVE, v:1, k:ed@fractais_png, mode:BACK
2026-04-29 10:47:17, EXEC, v:1, k:src@go, mode:FREE, size:5
2026-04-29 10:48:32, MOVE, v:1, k:ed@fractais_png, mode:PICK
2026-04-29 10:51:10, MOVE, v:1, k:ed@fractais_png, mode:BACK
2026-04-29 10:52:31, MOVE, v:1, k:ed@fractais_png, mode:DOWN
2026-04-29 10:52:33, MOVE, v:1, k:ed@fractais_png, mode:PICK
2026-04-29 10:52:46, MOVE, v:1, k:ed@fractais_png, mode:BACK
2026-04-29 11:02:35, MOVE, v:1, k:ed@fractais_png, mode:PICK
2026-04-29 11:04:57, MOVE, v:1, k:ed@fractais_png, mode:BACK
2026-04-29 11:23:21, MOVE, v:1, k:ed@wordsearch, mode:DOWN
2026-04-29 11:23:22, MOVE, v:1, k:ed@wordsearch, mode:PICK
